Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__부채비율,0.00013937433302392248,0.47652468373218065,0.0002870211937646676,0.07683178060198219,0.24641225552329238,0.33879656040222966,0.5113583049310712,0.6269761714182398,num__fe_Scope3_매출집약도__diff1,0.00034952177405927457,1.1950245732298397,0.0004677526805847988,-0.03919499126923759,0.045250613725039225,-0.7574438585368292,-0.8610653094388404,-0.7353562022959518
num__Scope3협력사간접배출량_tCO2e,0.0001366723010202914,0.46728636188318196,0.0002942724999169781,0.007697928500142384,0.014915697623987985,0.10318629543886824,0.6106692303697856,0.19983197756671733,num__KSIC중분류_EBITDA대매출액,0.00032822452219449387,1.1222086824625828,0.0006679210987388895,-0.03514127478613536,-0.17401011202080788,-0.8605483349005288,-0.9086127941700002,-0.8757893548671764
num__재고자산회전율2,0.00012663513881161078,0.4329690278139371,0.000242925524247427,-0.005656479948007782,-0.03987932370517789,0.22430121383559645,0.7229946119697036,0.2891709209437104,num__매출총이익손실_연결,0.00021411692351234657,0.7320716594275324,0.0004764409245330574,0.014448779237967396,-0.06935607295103158,-0.11894092115773602,-0.8358129772927014,-0.085278595639841
num__fe_signed_log1p_Scope1직접배출량_tCO2e,0.00012607253138980523,0.43104545754153084,0.00027344623037495967,-0.01331717973768152,0.06036277639954811,0.44380424698469556,0.4992513420462433,0.765928315682528,num__당좌비율,0.00019408499092548988,0.6635819301252383,0.0004408874500453879,-0.0944119685565773,-0.23559663712654222,-0.6002252282335961,-0.5836869322434824,-0.8165921177015706
num__Scope1직접배출량_tCO2e,0.00012505698466450845,0.4275732753140884,0.0002556051256408301,-0.02948323324905881,-0.027070612068543443,0.04697602209487736,0.5947072338519921,0.1316857493551033,num__fe_유동자산_유동부채,0.0001710570865971406,0.5848488909135058,0.0003325884825997691,-0.0954345179367683,-0.23533995102265254,-0.52547469386539,-0.8346470667899327,-0.7139896628760717
num__fe_판관비율__lag1,0.00012346705878679706,0.42213727494303027,0.0002388336220865088,0.021271680132701268,-0.13394942517663455,0.059085661773873206,0.5589938674171218,-0.07919310403451318,num__배출권_시장총수량,0.00016912566125524005,0.5782452944676415,0.00019740069574203836,1.8558646805898962e-17,5.922735343734368e-17,-2.2261374486780274e-17,,-2.4366101810991527e-16
num__fe_signed_log1p_수익_연결,0.000122753355012712,0.4196971020801691,0.00025303088014490716,0.02712050945196335,0.022638844492062465,0.24520645021015375,0.12715846128435634,0.23959400109662307,num__유동비율,0.00015952281719310482,0.5454129061049074,0.0003022571936757634,-0.08994320364612919,-0.22888434088271856,-0.4851460346512636,-0.8272890597952051,-0.6842338887264526
num__온실가스직접외부비용_백만USD,0.00012191442972688961,0.41682879341939993,0.00027585319091649296,-0.032736911152800606,-0.027764167946001624,0.03707225291918983,0.4353130086442139,0.10057945494436192,num__fe_현금_자산,0.00015907321445301887,0.543875701952061,0.00027541827055128833,-0.0010631578018135653,-0.12805128541485636,-0.649021857603341,0.15601618695133693,-0.7276762978322256
num__기말종가수정,0.00011744020887171432,0.4015313090712999,0.00022407056777288005,0.08091061534617215,-0.10651790422198984,0.10514036253320583,0.38616441064749496,-0.4490169725425029,num__fe_재고자산비중__diff1,0.0001539500626510893,0.526359504821938,0.0002993145564606883,-0.08639923587129805,-0.022229372653673668,-0.41311000025340966,-0.7284273176594094,-0.4310619240356624
num__매출채권_연결,0.00011703293164943272,0.4001388170297004,0.0002288315868494451,0.015583052902634826,-0.010965106829309203,0.33236182573205697,0.7795384044706122,0.3768888024624793,num__fe_시장지배력__diff1,0.00014506718730533628,0.4959887093323496,0.0002908989660860775,0.01437703623239846,-0.12472166795659942,-0.38692844349829997,-0.8273745409192425,-0.32589899787726945
