Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
num__기말발행주식수_보통주,0.004096995611003495,0.4096995611003495,86.4182386198634
num__자산총계_연결,0.004042484819073122,0.40424848190731216,86.82248710177072
num__평균시가총액_보통주우선주,0.004035436410032042,0.4035436410032042,87.22603074277393
num__fe_Scope3_매출집약도__lag1,0.004017724306690067,0.4017724306690067,87.62780317344294
num__자본금_연결,0.0038961307057367974,0.3896130705736797,88.01741624401662
num__비유동자산계_연결,0.003874318111509415,0.3874318111509415,88.40484805516756
num__기말시가총액_보통주우선주,0.003701526177924158,0.3701526177924158,88.77500067295998
num__부가가치(종업원1인당),0.003529143963294465,0.3529143963294465,89.12791506928943
num__협의_거래량_천톤,0.0034547269483698423,0.34547269483698423,89.47338776412641
num__경쟁_거래량_천톤,0.0033794126387462235,0.33794126387462237,89.81132902800104
num__노동생산성,0.0033382055077496157,0.3338205507749616,90.145149578776
num__fe_signed_log1p_기부금_원,0.003253540142817856,0.3253540142817856,90.47050359305778
num__기부금_원,0.0031897467905725087,0.31897467905725085,90.78947827211503
num__feature_year,0.002966016866041103,0.2966016866041103,91.08607995871914
num__경쟁_평균가격_원_tCO2eq,0.0029524849286784744,0.29524849286784743,91.38132845158698
num__fe_signed_log1p_기부금_원__diff1,0.002945241023180839,0.2945241023180839,91.67585255390506
num__fe_signed_log1p_기부금_원__lag1,0.002854666221166329,0.2854666221166329,91.96131917602169
num__KSIC대분류_EBITDA대매출액,0.002781208200907487,0.27812082009074873,92.23943999611244
num__배출권_시장총수량,0.0027393113050156936,0.27393113050156936,92.513371126614
num__협의_거래대금_억원,0.0025946380840557136,0.2594638084055714,92.77283493501957
num__노동소득분배율,0.0023057266524903587,0.23057266524903589,93.00340760026862
num__장외_평균가격_원_tCO2eq,0.002262898448549532,0.22628984485495318,93.22969744512356
num__장외_거래량_천톤,0.0022515679036069864,0.22515679036069863,93.45485423548426
num__노동생산성__lag1,0.0021435745083592038,0.21435745083592037,93.66921168632018
num__소계_평균가격_원_tCO2eq,0.0021124219370249587,0.21124219370249586,93.88045388002267
num__장외_거래대금_억원,0.002101799456322655,0.21017994563226552,94.09063382565493
num__소계_거래대금_억원,0.002061930981002218,0.2061930981002218,94.29682692375515
num__노동생산성__diff1,0.0020280218790095085,0.20280218790095084,94.4996291116561
num__협의_평균가격_원_tCO2eq,0.002013234357674811,0.20132343576748107,94.70095254742358
num__경쟁_거래대금_억원,0.0020120216184181753,0.20120216184181752,94.9021547092654
num__소계_거래량_천톤,0.002009739673563011,0.20097396735630108,95.10312867662171
num__경매_평균가격_원_tCO2eq,0.0018869710762684918,0.1886971076268492,95.29182578424856
cat__Trucost산업_Semiconductors_and_Semiconductor_Equipment,0.0014547689215407653,0.14547689215407653,95.43730267640264
num__사회등급__diff1,0.0011729317312385154,0.11729317312385154,95.55459584952649
cat__기부금_출처_xml_table,0.0009624338006893697,0.09624338006893697,95.65083922959543
missing__missingindicator_기부금_원,0.0009614297457456375,0.09614297457456375,95.74698220417
num__fe_배출권_부족비율__diff1,0.0009332809147656636,0.09332809147656636,95.84031029564656
num__종업원1인당인건비,0.0009132642186195751,0.09132642186195751,95.93163671750852
num__환경등급__lag1,0.0008946365354755103,0.08946365354755102,96.02110037105608
cat__Trucost산업_Hotels__Restaurants_and_Leisure,0.000823934061821642,0.0823934061821642,96.10349377723824
num__fe_배출권_잠재탄소비용_원__lag1,0.0008217314681845633,0.08217314681845633,96.1856669240567
num__배출권_인증배출량_tCO2eq,0.000801877879724912,0.08018778797249121,96.2658547120292
num__종업원1인당인건비증가율,0.0007774126242801088,0.07774126242801088,96.3435959744572
num__사회등급__lag1,0.0007740004974973229,0.07740004974973229,96.42099602420693
cat__기부금_출처_missing,0.0007536813471842243,0.07536813471842242,96.49636415892535
num__fe_배출권_잠재탄소비용_원__diff1,0.0007437471079176313,0.07437471079176314,96.5707388697171
